Date : 2025-03-21 10:38:53
Directory : /home/whx/文档/code/github/lightNovel
Total : 174 files,  18673 codes, 1906 comments, 2123 blanks, all 22702 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| client/macos/Runner/Assets.xcassets                                                                                    |          1 |         68 |          0 |          1 |         69 |
| client/macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                 |          1 |         68 |          0 |          1 |         69 |
| client/macos/Runner/Base.lproj                                                                                         |          1 |        343 |          0 |          1 |        344 |
| client/macos/RunnerTests                                                                                               |          1 |          7 |          2 |          4 |         13 |
| client/web                                                                                                             |          2 |         54 |         15 |          6 |         75 |
| client/windows                                                                                                         |         14 |        675 |         94 |        188 |        957 |
| client/windows (Files)                                                                                                 |          1 |         89 |          0 |         20 |        109 |
| client/windows/flutter                                                                                                 |          4 |        124 |          9 |         29 |        162 |
| client/windows/runner                                                                                                  |          9 |        462 |         85 |        139 |        686 |
| server                                                                                                                 |         44 |     10,233 |        781 |        905 |     11,919 |
| server/backup_lightnovel_20250320_192437                                                                               |          7 |          7 |          0 |          0 |          7 |
| server/backup_lightnovel_20250320_192437/lightnovel                                                                    |          7 |          7 |          0 |          0 |          7 |
| server/go-server                                                                                                       |         29 |      9,797 |        742 |        806 |     11,345 |
| server/go-server (Files)                                                                                               |          4 |        684 |         31 |        117 |        832 |
| server/go-server/api                                                                                                   |          3 |        600 |        359 |        129 |      1,088 |
| server/go-server/api/v1                                                                                                |          3 |        600 |        359 |        129 |      1,088 |
| server/go-server/config                                                                                                |          2 |        157 |          2 |         22 |        181 |
| server/go-server/docs                                                                                                  |          3 |      5,590 |          2 |          6 |      5,598 |
| server/go-server/internal                                                                                              |          2 |      1,150 |        158 |        239 |      1,547 |
| server/go-server/internal/models                                                                                       |          1 |        127 |         12 |         15 |        154 |
| server/go-server/internal/service                                                                                      |          1 |      1,023 |        146 |        224 |      1,393 |
| server/go-server/pkg                                                                                                   |         13 |      1,244 |        159 |        233 |      1,636 |
| server/go-server/pkg/cache                                                                                             |          2 |        269 |         42 |         59 |        370 |
| server/go-server/pkg/concurrency                                                                                       |          1 |        111 |         17 |         21 |        149 |
| server/go-server/pkg/database                                                                                          |          1 |        225 |         11 |         22 |        258 |
| server/go-server/pkg/errors                                                                                            |          1 |         71 |         12 |         14 |         97 |
| server/go-server/pkg/middleware                                                                                        |          4 |        275 |         39 |         60 |        374 |
| server/go-server/pkg/response                                                                                          |          1 |         95 |         12 |         15 |        122 |
| server/go-server/pkg/utils                                                                                             |          1 |         16 |          1 |          6 |         23 |
| server/go-server/pkg/websocket                                                                                         |          2 |        182 |         25 |         36 |        243 |
| server/go-server/test                                                                                                  |          2 |        372 |         31 |         60 |        463 |
| server/scripts                                                                                                         |          8 |        429 |         39 |         99 |        567 |
| server/scripts (Files)                                                                                                 |          4 |        123 |          5 |         25 |        153 |
| server/scripts/novel_processor                                                                                         |          4 |        306 |         34 |         74 |        414 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                               | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /home/whx/文档/code/github/lightNovel/README.md                                                                          | Markdown         |          2 |          0 |          1 |          3 |
| /home/whx/文档/code/github/lightNovel/client/analysis_options.yaml                                                       | YAML             |          3 |         22 |          4 |         29 |
| /home/whx/文档/code/github/lightNovel/client/android/app/build.gradle.kts                                                | Kotlinscript     |         32 |          6 |          7 |         45 |
| /home/whx/文档/code/github/lightNovel/client/android/app/src/debug/AndroidManifest.xml                                   | XML              |          3 |          4 |          1 |          8 |
| /home/whx/文档/code/github/lightNovel/client/android/app/src/main/AndroidManifest.xml                                    | XML              |         35 |         11 |          1 |         47 |
| /home/whx/文档/code/github/lightNovel/client/android/app/src/main/kotlin/com/example/client/MainActivity.kt              | Kotlin           |          3 |          0 |          3 |          6 |
| /home/whx/文档/code/github/lightNovel/client/android/app/src/main/res/drawable-v21/launch_background.xml                 | XML              |          4 |          7 |          2 |         13 |
| /home/whx/文档/code/github/lightNovel/client/android/app/src/main/res/drawable/launch_background.xml                     | XML              |          4 |          7 |          2 |         13 |
| /home/whx/文档/code/github/lightNovel/client/android/app/src/main/res/values-night/styles.xml                            | XML              |          9 |          9 |          1 |         19 |
| /home/whx/文档/code/github/lightNovel/client/android/app/src/main/res/values/styles.xml                                  | XML              |          9 |          9 |          1 |         19 |
| /home/whx/文档/code/github/lightNovel/client/android/app/src/profile/AndroidManifest.xml                                 | XML              |          3 |          4 |          1 |          8 |
| /home/whx/文档/code/github/lightNovel/client/android/build.gradle.kts                                                    | Kotlinscript     |         18 |          0 |          4 |         22 |
| /home/whx/文档/code/github/lightNovel/client/android/gradle.properties                                                   | Properties       |          3 |          0 |          1 |          4 |
| /home/whx/文档/code/github/lightNovel/client/android/gradle/wrapper/gradle-wrapper.properties                            | Properties       |          5 |          0 |          1 |          6 |
| /home/whx/文档/code/github/lightNovel/client/android/settings.gradle.kts                                                 | Kotlinscript     |         21 |          0 |          5 |         26 |
| /home/whx/文档/code/github/lightNovel/client/ios/Runner/AppDelegate.swift                                                | Swift            |         12 |          0 |          2 |         14 |
| /home/whx/文档/code/github/lightNovel/client/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                 | JSON             |        122 |          0 |          1 |        123 |
| /home/whx/文档/code/github/lightNovel/client/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json               | JSON             |         23 |          0 |          1 |         24 |
| /home/whx/文档/code/github/lightNovel/client/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                   | Markdown         |          3 |          0 |          2 |          5 |
| /home/whx/文档/code/github/lightNovel/client/ios/Runner/Base.lproj/LaunchScreen.storyboard                               | XML              |         36 |          1 |          1 |         38 |
| /home/whx/文档/code/github/lightNovel/client/ios/Runner/Base.lproj/Main.storyboard                                       | XML              |         25 |          1 |          1 |         27 |
| /home/whx/文档/code/github/lightNovel/client/ios/Runner/Runner-Bridging-Header.h                                         | C++              |          1 |          0 |          1 |          2 |
| /home/whx/文档/code/github/lightNovel/client/ios/RunnerTests/RunnerTests.swift                                           | Swift            |          7 |          2 |          4 |         13 |
| /home/whx/文档/code/github/lightNovel/client/lib/config/app_config.dart                                                  | Dart             |         50 |         20 |         14 |         84 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/api/api_client.dart                                                | Dart             |        683 |         36 |         83 |        802 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/bookmark.dart                                               | Dart             |         19 |          9 |          5 |         33 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/bookmark.freezed.dart                                       | Dart             |        281 |         26 |         28 |        335 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/bookmark.g.dart                                             | Dart             |         25 |          4 |          5 |         34 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/chapter.dart                                                | Dart             |         21 |          9 |          5 |         35 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/chapter.freezed.dart                                        | Dart             |        330 |         26 |         28 |        384 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/chapter.g.dart                                              | Dart             |         29 |          4 |          5 |         38 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/chapter_info.dart                                           | Dart             |         17 |          9 |          5 |         31 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/chapter_info.freezed.dart                                   | Dart             |        240 |         26 |         28 |        294 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/chapter_info.g.dart                                         | Dart             |         21 |          4 |          5 |         30 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/current_progress.dart                                       | Dart             |         14 |          9 |          5 |         28 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/current_progress.freezed.dart                               | Dart             |        175 |         26 |         28 |        229 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/current_progress.g.dart                                     | Dart             |         17 |          4 |          5 |         26 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/device.dart                                                 | Dart             |         15 |          9 |          5 |         29 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/device.freezed.dart                                         | Dart             |        216 |         26 |         28 |        270 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/device.g.dart                                               | Dart             |         18 |          4 |          5 |         27 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/favorite.dart                                               | Dart             |         15 |          9 |          5 |         29 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/favorite.freezed.dart                                       | Dart             |        198 |         26 |         28 |        252 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/favorite.g.dart                                             | Dart             |         17 |          4 |          5 |         26 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/novel.dart                                                  | Dart             |         20 |          9 |          5 |         34 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/novel.freezed.dart                                          | Dart             |        340 |         29 |         29 |        398 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/novel.g.dart                                                | Dart             |         30 |          4 |          5 |         39 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/read_chapter_record.dart                                    | Dart             |         20 |          9 |          4 |         33 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/read_chapter_record.freezed.dart                            | Dart             |        315 |         26 |         28 |        369 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/read_chapter_record.g.dart                                  | Dart             |         29 |          4 |          5 |         38 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/read_record.dart                                            | Dart             |         21 |          9 |          4 |         34 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/read_record.freezed.dart                                    | Dart             |        334 |         26 |         28 |        388 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/read_record.g.dart                                          | Dart             |         29 |          4 |          5 |         38 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/reading_progress.dart                                       | Dart             |         17 |          9 |          5 |         31 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/reading_progress.freezed.dart                               | Dart             |        231 |         28 |         31 |        290 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/reading_progress.g.dart                                     | Dart             |         22 |          4 |          5 |         31 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/reading_stat.dart                                           | Dart             |         22 |          9 |          4 |         35 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/reading_stat.freezed.dart                                   | Dart             |        362 |         27 |         29 |        418 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/reading_stat.g.dart                                         | Dart             |         32 |          4 |          5 |         41 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/volume.dart                                                 | Dart             |         15 |          9 |          4 |         28 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/volume.freezed.dart                                         | Dart             |        216 |         26 |         28 |        270 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/models/volume.g.dart                                               | Dart             |         18 |          4 |          5 |         27 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/api_provider.dart                                        | Dart             |         10 |          9 |          3 |         22 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/api_provider.g.dart                                      | Dart             |         13 |          8 |          6 |         27 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/device_provider.dart                                     | Dart             |         10 |          9 |          5 |         24 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/device_provider.g.dart                                   | Dart             |         14 |          8 |          6 |         28 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/novel_provider.dart                                      | Dart             |         57 |          9 |         14 |         80 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/novel_provider.g.dart                                    | Dart             |         27 |          8 |          8 |         43 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/search_history_provider.dart                             | Dart             |         35 |         12 |         12 |         59 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/search_history_provider.g.dart                           | Dart             |         14 |          7 |          6 |         27 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/storage_service_provider.dart                            | Dart             |          8 |          9 |          4 |         21 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/storage_service_provider.g.dart                          | Dart             |         14 |          8 |          6 |         28 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/tag_filter_provider.dart                                 | Dart             |         32 |          9 |          7 |         48 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/tag_filter_provider.g.dart                               | Dart             |         13 |          7 |          6 |         26 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/volume_provider.dart                                     | Dart             |         25 |          9 |          6 |         40 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/providers/volume_provider.g.dart                                   | Dart             |         14 |          7 |          6 |         27 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/router.dart                                                        | Dart             |        105 |          9 |          9 |        123 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/services/device_service.dart                                       | Dart             |        129 |         20 |         17 |        166 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/services/device_service.g.dart                                     | Dart             |         14 |          8 |          6 |         28 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/services/storage_service.dart                                      | Dart             |         32 |          9 |         10 |         51 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/services/storage_service.g.dart                                    | Dart             |         14 |          8 |          6 |         28 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/theme/app_theme.dart                                               | Dart             |         68 |         11 |          8 |         87 |
| /home/whx/文档/code/github/lightNovel/client/lib/core/theme/app_theme.g.dart                                             | Dart             |         14 |          7 |          6 |         27 |
| /home/whx/文档/code/github/lightNovel/client/lib/features/bookshelf/pages/bookshelf_page.dart                            | Dart             |         13 |          9 |          4 |         26 |
| /home/whx/文档/code/github/lightNovel/client/lib/features/history/pages/history_page.dart                                | Dart             |         13 |          7 |          3 |         23 |
| /home/whx/文档/code/github/lightNovel/client/lib/features/home/pages/home_page.dart                                      | Dart             |        135 |         14 |          6 |        155 |
| /home/whx/文档/code/github/lightNovel/client/lib/features/home/widgets/animated_filter_chip.dart                         | Dart             |         48 |          9 |          5 |         62 |
| /home/whx/文档/code/github/lightNovel/client/lib/features/home/widgets/search_box.dart                                   | Dart             |         96 |          9 |         11 |        116 |
| /home/whx/文档/code/github/lightNovel/client/lib/features/home/widgets/search_page.dart                                  | Dart             |        104 |          9 |          7 |        120 |
| /home/whx/文档/code/github/lightNovel/client/lib/features/home/widgets/search_result_page.dart                           | Dart             |        108 |         10 |          5 |        123 |
| /home/whx/文档/code/github/lightNovel/client/lib/features/main/pages/main_page.dart                                      | Dart             |         53 |          9 |          7 |         69 |
| /home/whx/文档/code/github/lightNovel/client/lib/features/novel/pages/novel_detail_page.dart                             | Dart             |        339 |         18 |         25 |        382 |
| /home/whx/文档/code/github/lightNovel/client/lib/features/settings/pages/settings_page.dart                              | Dart             |         63 |         11 |          5 |         79 |
| /home/whx/文档/code/github/lightNovel/client/lib/main.dart                                                               | Dart             |         21 |          9 |          6 |         36 |
| /home/whx/文档/code/github/lightNovel/client/lib/shared/props/novel_props.dart                                           | Dart             |        117 |         11 |         17 |        145 |
| /home/whx/文档/code/github/lightNovel/client/lib/shared/props/novel_tags.dart                                            | Dart             |         18 |          9 |          3 |         30 |
| /home/whx/文档/code/github/lightNovel/client/lib/shared/widgets/cached_image.dart                                        | Dart             |         73 |         12 |         13 |         98 |
| /home/whx/文档/code/github/lightNovel/client/lib/shared/widgets/novel_card.dart                                          | Dart             |        156 |         10 |         18 |        184 |
| /home/whx/文档/code/github/lightNovel/client/lib/shared/widgets/page_transitions.dart                                    | Dart             |         23 |          9 |          5 |         37 |
| /home/whx/文档/code/github/lightNovel/client/linux/CMakeLists.txt                                                        | CMake            |        104 |          0 |         25 |        129 |
| /home/whx/文档/code/github/lightNovel/client/linux/flutter/CMakeLists.txt                                                | CMake            |         79 |          0 |         10 |         89 |
| /home/whx/文档/code/github/lightNovel/client/linux/flutter/generated_plugin_registrant.cc                                | C++              |          3 |          4 |          5 |         12 |
| /home/whx/文档/code/github/lightNovel/client/linux/flutter/generated_plugin_registrant.h                                 | C++              |          5 |          5 |          6 |         16 |
| /home/whx/文档/code/github/lightNovel/client/linux/flutter/generated_plugins.cmake                                       | CMake            |         18 |          0 |          6 |         24 |
| /home/whx/文档/code/github/lightNovel/client/linux/runner/CMakeLists.txt                                                 | CMake            |         21 |          0 |          6 |         27 |
| /home/whx/文档/code/github/lightNovel/client/linux/runner/main.cc                                                        | C++              |          5 |          0 |          2 |          7 |
| /home/whx/文档/code/github/lightNovel/client/linux/runner/my_application.cc                                              | C++              |         83 |         21 |         27 |        131 |
| /home/whx/文档/code/github/lightNovel/client/linux/runner/my_application.h                                               | C++              |          7 |          7 |          5 |         19 |
| /home/whx/文档/code/github/lightNovel/client/macos/Flutter/GeneratedPluginRegistrant.swift                               | Swift            |          4 |          3 |          4 |         11 |
| /home/whx/文档/code/github/lightNovel/client/macos/Runner/AppDelegate.swift                                              | Swift            |         11 |          0 |          3 |         14 |
| /home/whx/文档/code/github/lightNovel/client/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json               | JSON             |         68 |          0 |          1 |         69 |
| /home/whx/文档/code/github/lightNovel/client/macos/Runner/Base.lproj/MainMenu.xib                                        | XML              |        343 |          0 |          1 |        344 |
| /home/whx/文档/code/github/lightNovel/client/macos/Runner/MainFlutterWindow.swift                                        | Swift            |         12 |          0 |          4 |         16 |
| /home/whx/文档/code/github/lightNovel/client/macos/RunnerTests/RunnerTests.swift                                         | Swift            |          7 |          2 |          4 |         13 |
| /home/whx/文档/code/github/lightNovel/client/pubspec.yaml                                                                | YAML             |         42 |          5 |         16 |         63 |
| /home/whx/文档/code/github/lightNovel/client/web/index.html                                                              | HTML             |         19 |         15 |          5 |         39 |
| /home/whx/文档/code/github/lightNovel/client/web/manifest.json                                                           | JSON             |         35 |          0 |          1 |         36 |
| /home/whx/文档/code/github/lightNovel/client/windows/CMakeLists.txt                                                      | CMake            |         89 |          0 |         20 |        109 |
| /home/whx/文档/code/github/lightNovel/client/windows/flutter/CMakeLists.txt                                              | CMake            |         98 |          0 |         12 |        110 |
| /home/whx/文档/code/github/lightNovel/client/windows/flutter/generated_plugin_registrant.cc                              | C++              |          3 |          4 |          5 |         12 |
| /home/whx/文档/code/github/lightNovel/client/windows/flutter/generated_plugin_registrant.h                               | C++              |          5 |          5 |          6 |         16 |
| /home/whx/文档/code/github/lightNovel/client/windows/flutter/generated_plugins.cmake                                     | CMake            |         18 |          0 |          6 |         24 |
| /home/whx/文档/code/github/lightNovel/client/windows/runner/CMakeLists.txt                                               | CMake            |         34 |          0 |          7 |         41 |
| /home/whx/文档/code/github/lightNovel/client/windows/runner/flutter_window.cpp                                           | C++              |         49 |          7 |         16 |         72 |
| /home/whx/文档/code/github/lightNovel/client/windows/runner/flutter_window.h                                             | C++              |         20 |          5 |          9 |         34 |
| /home/whx/文档/code/github/lightNovel/client/windows/runner/main.cpp                                                     | C++              |         30 |          4 |         10 |         44 |
| /home/whx/文档/code/github/lightNovel/client/windows/runner/resource.h                                                   | C++              |          9 |          6 |          2 |         17 |
| /home/whx/文档/code/github/lightNovel/client/windows/runner/utils.cpp                                                    | C++              |         54 |          2 |         10 |         66 |
| /home/whx/文档/code/github/lightNovel/client/windows/runner/utils.h                                                      | C++              |          8 |          6 |          6 |         20 |
| /home/whx/文档/code/github/lightNovel/client/windows/runner/win32_window.cpp                                             | C++              |        210 |         24 |         55 |        289 |
| /home/whx/文档/code/github/lightNovel/client/windows/runner/win32_window.h                                               | C++              |         48 |         31 |         24 |        103 |
| /home/whx/文档/code/github/lightNovel/server/backup_lightnovel_20250320_192437/lightnovel/bookmarks.metadata.json        | JSON             |          1 |          0 |          0 |          1 |
| /home/whx/文档/code/github/lightNovel/server/backup_lightnovel_20250320_192437/lightnovel/chapters.metadata.json         | JSON             |          1 |          0 |          0 |          1 |
| /home/whx/文档/code/github/lightNovel/server/backup_lightnovel_20250320_192437/lightnovel/devices.metadata.json          | JSON             |          1 |          0 |          0 |          1 |
| /home/whx/文档/code/github/lightNovel/server/backup_lightnovel_20250320_192437/lightnovel/favorites.metadata.json        | JSON             |          1 |          0 |          0 |          1 |
| /home/whx/文档/code/github/lightNovel/server/backup_lightnovel_20250320_192437/lightnovel/novels.metadata.json           | JSON             |          1 |          0 |          0 |          1 |
| /home/whx/文档/code/github/lightNovel/server/backup_lightnovel_20250320_192437/lightnovel/reading_progress.metadata.json | JSON             |          1 |          0 |          0 |          1 |
| /home/whx/文档/code/github/lightNovel/server/backup_lightnovel_20250320_192437/lightnovel/volumes.metadata.json          | JSON             |          1 |          0 |          0 |          1 |
